indicator_type,indicator_value,times_seen,first_seen,last_seen,indicator_details_link,associated_with_campaign,campaign_description,brands_targeted,verticals_targeted,campaign_details_link
structural_id,f3571758fdebcc886f53e536bff4ce232ff66a6f,1033,1689428136.2787971,1696473350.7515943,https://bayse.io/site_fingerprint/structural_id/f3571758fdebcc886f53e536bff4ce232ff66a6f,Facebook Unusual Activity 1,"This campaign is targeting Facebook users. It intends to convince them that they have had unusual activity on their account that violates community standards, and that they must verify their account to avoid deactivation. The lure asks for email or phone number and the user's password.","Facebook, Inc.,Meta, Inc.",Unknown,https://bayse.io/campaign/Facebook Unusual Activity 1
structural_id,589575368d45f393be952db3415cf81cdb687b6e,4571,1685472760.3697245,1696480653.5472589,https://bayse.io/site_fingerprint/structural_id/589575368d45f393be952db3415cf81cdb687b6e,Unknown_589575368d45f393be952db3415cf81cdb687b6e,"This captures a possible campaign that we are tracking but have not yet named. If 
you are familiar with one of these campaigns, please reach out to hello@bayse.io to share your information and be 
recognized for your contribution!",Yahoo,Unknown,https://bayse.io/campaign/Unknown_589575368d45f393be952db3415cf81cdb687b6e
structural_id,4a453750eacd9e9015f61e092a1b2cf3be15f1b7,4490,1685632787.3164313,1696484495.772227,https://bayse.io/site_fingerprint/structural_id/4a453750eacd9e9015f61e092a1b2cf3be15f1b7,Unknown_4a453750eacd9e9015f61e092a1b2cf3be15f1b7,"This captures a possible campaign that we are tracking but have not yet named. If 
you are familiar with one of these campaigns, please reach out to hello@bayse.io to share your information and be 
recognized for your contribution!",Microsoft Corporation,Unknown,https://bayse.io/campaign/Unknown_4a453750eacd9e9015f61e092a1b2cf3be15f1b7
structural_id,cefcf5cc152824cf637d6cae2e7a46995d41e545,3883,1685569620.1720266,1696484271.0677304,https://bayse.io/site_fingerprint/structural_id/cefcf5cc152824cf637d6cae2e7a46995d41e545,Unknown_cefcf5cc152824cf637d6cae2e7a46995d41e545,"This captures a possible campaign that we are tracking but have not yet named. If 
you are familiar with one of these campaigns, please reach out to hello@bayse.io to share your information and be 
recognized for your contribution!",Microsoft Corporation,All,https://bayse.io/campaign/Unknown_cefcf5cc152824cf637d6cae2e7a46995d41e545
destinations_id,81074d1bb28015072787d48b9a9902a53fe4b44c,2926,1685570294.256145,1696484276.87891,https://bayse.io/site_fingerprint/destinations_id/81074d1bb28015072787d48b9a9902a53fe4b44c,USPS Delivery Failed SMS,"This campaign is targeting customers of shipping company USPS. The lure shows a tracking number for a package and mentions that delivery has failed due to an incorrect delivery address. The lure first requests the customer's name, home address, phone number, and email address. Next it requests credit card information for a small fee. Finally, it sends a verification code to the mobile phone entered earlier and requests that the user verify the code. In each step, information is sent to a script on the phishing site.",United States Postal Service,"Government-National,Transportation",https://bayse.io/campaign/USPS Delivery Failed SMS
structural_id,a77f93b7afd222d764b8cab45c5b5300440ac0b7,463,1685570294.256145,1696466087.5606415,https://bayse.io/site_fingerprint/structural_id/a77f93b7afd222d764b8cab45c5b5300440ac0b7,USPS Delivery Failed SMS,"This campaign is targeting customers of shipping company USPS. The lure shows a tracking number for a package and mentions that delivery has failed due to an incorrect delivery address. The lure first requests the customer's name, home address, phone number, and email address. Next it requests credit card information for a small fee. Finally, it sends a verification code to the mobile phone entered earlier and requests that the user verify the code. In each step, information is sent to a script on the phishing site.",United States Postal Service,"Government-National,Transportation",https://bayse.io/campaign/USPS Delivery Failed SMS
destinations_id,2b6eb7276e95e6380899e0407049eb14138c9a45,2278,1685570387.0270119,1696484366.7028184,https://bayse.io/site_fingerprint/destinations_id/2b6eb7276e95e6380899e0407049eb14138c9a45,Adobe Document 1,This campaign is targeting Microsoft email users who expect to receive documents via Adobe Document Cloud.,"AOL,Adobe Inc.,Generic Webmail,Microsoft Corporation",Unknown,https://bayse.io/campaign/Adobe Document 1
links_id,8a144ca13d39f0ffdbb4652891e6a196e6a815c0,59,1687943159.2293057,1696434089.0129914,https://bayse.io/site_fingerprint/links_id/8a144ca13d39f0ffdbb4652891e6a196e6a815c0,Adobe Document 1,This campaign is targeting Microsoft email users who expect to receive documents via Adobe Document Cloud.,"AOL,Adobe Inc.,Generic Webmail,Microsoft Corporation",Unknown,https://bayse.io/campaign/Adobe Document 1
links_id,bad19953decf5ee20d27394ea253f3e7aa95b400,477,1687109368.239041,1696433726.3013868,https://bayse.io/site_fingerprint/links_id/bad19953decf5ee20d27394ea253f3e7aa95b400,Adobe Document 1,This campaign is targeting Microsoft email users who expect to receive documents via Adobe Document Cloud.,"AOL,Adobe Inc.,Generic Webmail,Microsoft Corporation",Unknown,https://bayse.io/campaign/Adobe Document 1
links_id,2c9a926efa65c41e2f8e701485348858d49482e1,363,1685576086.7637527,1696433639.7693272,https://bayse.io/site_fingerprint/links_id/2c9a926efa65c41e2f8e701485348858d49482e1,Adobe Document 1,This campaign is targeting Microsoft email users who expect to receive documents via Adobe Document Cloud.,"AOL,Adobe Inc.,Generic Webmail,Microsoft Corporation",Unknown,https://bayse.io/campaign/Adobe Document 1
destinations_id,23a9173d0ba33012f7a83c2782afe4764c340faa,360,1687742675.2593668,1696346525.2758718,https://bayse.io/site_fingerprint/destinations_id/23a9173d0ba33012f7a83c2782afe4764c340faa,Adobe Document 1,This campaign is targeting Microsoft email users who expect to receive documents via Adobe Document Cloud.,"AOL,Adobe Inc.,Generic Webmail,Microsoft Corporation",Unknown,https://bayse.io/campaign/Adobe Document 1
structural_id,9a31dadde50f7e0206068da3a41873fcf76e0311,3111,1685570115.8629954,1696477329.8451588,https://bayse.io/site_fingerprint/structural_id/9a31dadde50f7e0206068da3a41873fcf76e0311,Unknown_9a31dadde50f7e0206068da3a41873fcf76e0311,"This captures a possible campaign that we are tracking but have not yet named. If 
you are familiar with one of these campaigns, please reach out to hello@bayse.io to share your information and be 
recognized for your contribution!",Microsoft Corporation,Unknown,https://bayse.io/campaign/Unknown_9a31dadde50f7e0206068da3a41873fcf76e0311
links_id,49d6b7ae8c56aeba647b21b4c082c7e8b18dfd0e,3026,1685620555.7153358,1696477397.463872,https://bayse.io/site_fingerprint/links_id/49d6b7ae8c56aeba647b21b4c082c7e8b18dfd0e,Unknown_49d6b7ae8c56aeba647b21b4c082c7e8b18dfd0e,"This captures a possible campaign that we are tracking but have not yet named. If 
you are familiar with one of these campaigns, please reach out to hello@bayse.io to share your information and be 
recognized for your contribution!",Telegram Messenger Inc.,Unknown,https://bayse.io/campaign/Unknown_49d6b7ae8c56aeba647b21b4c082c7e8b18dfd0e
structural_id,a1b421d0a5ec0f28c863aba69828e6cc94eea78b,2395,1685618847.0871425,1696485536.3426483,https://bayse.io/site_fingerprint/structural_id/a1b421d0a5ec0f28c863aba69828e6cc94eea78b,Unknown_a1b421d0a5ec0f28c863aba69828e6cc94eea78b,"This captures a possible campaign that we are tracking but have not yet named. If 
you are familiar with one of these campaigns, please reach out to hello@bayse.io to share your information and be 
recognized for your contribution!",AOL,Unknown,https://bayse.io/campaign/Unknown_a1b421d0a5ec0f28c863aba69828e6cc94eea78b
structural_id,85ded4b552969ce8eb989f1e356d999892895a3b,1344,1685584264.9972532,1696469766.1372652,https://bayse.io/site_fingerprint/structural_id/85ded4b552969ce8eb989f1e356d999892895a3b,DHL China 1,"This campaign is targeting Chinese-speaking customers of global shipping company DHL. The lure seems to show an Excel spreadsheet link that will expire in 3 days. The username seems to be automatically populated, so users are required only to enter their password. Credentials are often sent to a script on the phishing website.",DHL,Unknown,https://bayse.io/campaign/DHL China 1
structural_id,2afeac04f7b6e81592aad277a91a17fe00fbfff8,787,1685571435.600185,1696430158.9443002,https://bayse.io/site_fingerprint/structural_id/2afeac04f7b6e81592aad277a91a17fe00fbfff8,DHL China 1,"This campaign is targeting Chinese-speaking customers of global shipping company DHL. The lure seems to show an Excel spreadsheet link that will expire in 3 days. The username seems to be automatically populated, so users are required only to enter their password. Credentials are often sent to a script on the phishing website.",DHL,Unknown,https://bayse.io/campaign/DHL China 1
structural_id,82fa28d88847a56c44463670c9f96659b0f7b05f,1985,1685601956.9090774,1696473416.2200892,https://bayse.io/site_fingerprint/structural_id/82fa28d88847a56c44463670c9f96659b0f7b05f,Unknown_82fa28d88847a56c44463670c9f96659b0f7b05f,"This captures a possible campaign that we are tracking but have not yet named. If 
you are familiar with one of these campaigns, please reach out to hello@bayse.io to share your information and be 
recognized for your contribution!",Microsoft Corporation,Unknown,https://bayse.io/campaign/Unknown_82fa28d88847a56c44463670c9f96659b0f7b05f
structural_id,37c6d964c9f732cad72ebd9be8db431688d317c3,1904,1685582104.7152684,1696434421.3938522,https://bayse.io/site_fingerprint/structural_id/37c6d964c9f732cad72ebd9be8db431688d317c3,Unknown_37c6d964c9f732cad72ebd9be8db431688d317c3,"This captures a possible campaign that we are tracking but have not yet named. If 
you are familiar with one of these campaigns, please reach out to hello@bayse.io to share your information and be 
recognized for your contribution!",VK,Unknown,https://bayse.io/campaign/Unknown_37c6d964c9f732cad72ebd9be8db431688d317c3
links_id,ad52ac772629cebafc33840488c6ce9a0ab8b515,1818,1685573296.9745288,1696434746.2807624,https://bayse.io/site_fingerprint/links_id/ad52ac772629cebafc33840488c6ce9a0ab8b515,Unknown_ad52ac772629cebafc33840488c6ce9a0ab8b515,"This captures a possible campaign that we are tracking but have not yet named. If 
you are familiar with one of these campaigns, please reach out to hello@bayse.io to share your information and be 
recognized for your contribution!",Microsoft Corporation,Unknown,https://bayse.io/campaign/Unknown_ad52ac772629cebafc33840488c6ce9a0ab8b515
structural_id,2e5153d6768c3f1685f75103e4514fce65637896,1791,1685572736.5988781,1696435078.6126523,https://bayse.io/site_fingerprint/structural_id/2e5153d6768c3f1685f75103e4514fce65637896,Unknown_2e5153d6768c3f1685f75103e4514fce65637896,"This captures a possible campaign that we are tracking but have not yet named. If 
you are familiar with one of these campaigns, please reach out to hello@bayse.io to share your information and be 
recognized for your contribution!",Microsoft Corporation,Unknown,https://bayse.io/campaign/Unknown_2e5153d6768c3f1685f75103e4514fce65637896
links_id,988a67d924b9e58ac5c620655c9486abb04a7696,1662,1688246673.670757,1696480760.9144723,https://bayse.io/site_fingerprint/links_id/988a67d924b9e58ac5c620655c9486abb04a7696,Fake Bank Login Portals,"This campaign is targeting customers of many different banks, though predominantly it looks like banks and credit unions in the Midwest US. The lure shows the login page to a user's bank (logo included). Many of the sites seem to first load from an attacker-controlled pages.dev site before redirecting to a different site.",Unknown,Financial-Services,https://bayse.io/campaign/Fake Bank Login Portals
structural_id,30c14db57a3981f8ffd0cf5c28672e4524f3a97e,1655,1685576509.7450337,1696434427.108868,https://bayse.io/site_fingerprint/structural_id/30c14db57a3981f8ffd0cf5c28672e4524f3a97e,Friendly Panda,"This campaign looks to be targeting Chinese-speaking users of several platforms, including LinkedIn and 163.com's email site. In the former, the template shows what looks like LinkedIn's site with a particular user's profile showing and a prompt to reauthenticate to the site. It's unclear whether the initial lure is a connection request or something else, as the profile used repeatedly in this template doesn't look like a connection request. In the latter case, the prompt is the same but the background is a 163.com email inbox.","LinkedIn Corporation,NetEase, Inc.",Unknown,https://bayse.io/campaign/Friendly Panda
structural_id,8af81c69845d748db020f5cdfe8d2725b825753e,234,1685571005.0497048,1693346612.7068453,https://bayse.io/site_fingerprint/structural_id/8af81c69845d748db020f5cdfe8d2725b825753e,Friendly Panda,"This campaign looks to be targeting Chinese-speaking users of several platforms, including LinkedIn and 163.com's email site. In the former, the template shows what looks like LinkedIn's site with a particular user's profile showing and a prompt to reauthenticate to the site. It's unclear whether the initial lure is a connection request or something else, as the profile used repeatedly in this template doesn't look like a connection request. In the latter case, the prompt is the same but the background is a 163.com email inbox.","LinkedIn Corporation,NetEase, Inc.",Unknown,https://bayse.io/campaign/Friendly Panda
structural_id,946f61e90979cda333b5c6248d62c5092170e556,1640,1685594783.2218482,1696476990.091521,https://bayse.io/site_fingerprint/structural_id/946f61e90979cda333b5c6248d62c5092170e556,Unknown_946f61e90979cda333b5c6248d62c5092170e556,"This captures a possible campaign that we are tracking but have not yet named. If 
you are familiar with one of these campaigns, please reach out to hello@bayse.io to share your information and be 
recognized for your contribution!","Facebook, Inc.",Unknown,https://bayse.io/campaign/Unknown_946f61e90979cda333b5c6248d62c5092170e556
structural_id,ccda581ed27ee6b0a82c379691946aec3195c228,1446,1685572140.4059389,1696477155.993002,https://bayse.io/site_fingerprint/structural_id/ccda581ed27ee6b0a82c379691946aec3195c228,Unknown_ccda581ed27ee6b0a82c379691946aec3195c228,"This captures a possible campaign that we are tracking but have not yet named. If 
you are familiar with one of these campaigns, please reach out to hello@bayse.io to share your information and be 
recognized for your contribution!","Poste Itialiane,Australia Post,Sociedad Estatal Correos y Telegrafos, SA",Transportation,https://bayse.io/campaign/Unknown_ccda581ed27ee6b0a82c379691946aec3195c228
structural_id,6ddf6f979518d5b4badda2cf3ef2d0e7fb611c6c,1420,1685573540.937183,1696429818.252564,https://bayse.io/site_fingerprint/structural_id/6ddf6f979518d5b4badda2cf3ef2d0e7fb611c6c,Unknown_6ddf6f979518d5b4badda2cf3ef2d0e7fb611c6c,"This captures a possible campaign that we are tracking but have not yet named. If 
you are familiar with one of these campaigns, please reach out to hello@bayse.io to share your information and be 
recognized for your contribution!",Apple Inc.,Unknown,https://bayse.io/campaign/Unknown_6ddf6f979518d5b4badda2cf3ef2d0e7fb611c6c
links_id,c0d5cf8da4094891bf231c99b0e1096ae0611444,1389,1685570696.4202852,1696477294.3255584,https://bayse.io/site_fingerprint/links_id/c0d5cf8da4094891bf231c99b0e1096ae0611444,Unknown_c0d5cf8da4094891bf231c99b0e1096ae0611444,"This captures a possible campaign that we are tracking but have not yet named. If 
you are familiar with one of these campaigns, please reach out to hello@bayse.io to share your information and be 
recognized for your contribution!","DHL,La Poste,FedEx Corporation",Transportation,https://bayse.io/campaign/Unknown_c0d5cf8da4094891bf231c99b0e1096ae0611444
structural_id,a2448305ef33034a0de8107ba6cea2a5005100e1,1235,1685885718.1245866,1696484309.9777374,https://bayse.io/site_fingerprint/structural_id/a2448305ef33034a0de8107ba6cea2a5005100e1,Unknown_a2448305ef33034a0de8107ba6cea2a5005100e1,"This captures a possible campaign that we are tracking but have not yet named. If 
you are familiar with one of these campaigns, please reach out to hello@bayse.io to share your information and be 
recognized for your contribution!","Facebook, Inc.,Garena International",Unknown,https://bayse.io/campaign/Unknown_a2448305ef33034a0de8107ba6cea2a5005100e1
structural_id,4713e7f7d62f29f70d20a896f0d6310812a022dc,1105,1687429674.192194,1696476981.8659759,https://bayse.io/site_fingerprint/structural_id/4713e7f7d62f29f70d20a896f0d6310812a022dc,Decode Process,This campaign is targeting Microsoft 365 login portals. Credentials are generally sent to a script found at '/Decode/process.php' on a different compromised website in order to make the attack harder to confirm.,Microsoft Corporation,Unknown,https://bayse.io/campaign/Decode Process
structural_id,a6997be493c2ccb5a8295b5234715ac0e3c7d7b2,963,1685640871.1928833,1696484504.924692,https://bayse.io/site_fingerprint/structural_id/a6997be493c2ccb5a8295b5234715ac0e3c7d7b2,Unknown_a6997be493c2ccb5a8295b5234715ac0e3c7d7b2,"This captures a possible campaign that we are tracking but have not yet named. If 
you are familiar with one of these campaigns, please reach out to hello@bayse.io to share your information and be 
recognized for your contribution!","Google, Inc.,Microsoft Corporation",Unknown,https://bayse.io/campaign/Unknown_a6997be493c2ccb5a8295b5234715ac0e3c7d7b2
destinations_id,28398a2238248ffe8b14f66a16b3cf90febeb3e6,964,1685574643.4422927,1696484338.0908468,https://bayse.io/site_fingerprint/destinations_id/28398a2238248ffe8b14f66a16b3cf90febeb3e6,OurTime 1,"This campaign is targeting users of People Media's OurTime 50+ dating site. The page seems to be impersonating a previous iteration of OurTime's login page, and credentials are often sent to a different, compromised website. Information requested includes email address and password.",People Media,Unknown,https://bayse.io/campaign/OurTime 1
structural_id,de36c720314b013f90413e24d071c8d7e1709da9,901,1685571747.5046303,1696477190.1237621,https://bayse.io/site_fingerprint/structural_id/de36c720314b013f90413e24d071c8d7e1709da9,Unknown_de36c720314b013f90413e24d071c8d7e1709da9,"This captures a possible campaign that we are tracking but have not yet named. If 
you are familiar with one of these campaigns, please reach out to hello@bayse.io to share your information and be 
recognized for your contribution!","Adobe Inc.,Generic Webmail,Microsoft Corporation",Unknown,https://bayse.io/campaign/Unknown_de36c720314b013f90413e24d071c8d7e1709da9
structural_id,32099a5df3d94ec084116ad6d9eaeb755f91e883,723,1685639146.6346254,1696448015.5691156,https://bayse.io/site_fingerprint/structural_id/32099a5df3d94ec084116ad6d9eaeb755f91e883,Unknown_32099a5df3d94ec084116ad6d9eaeb755f91e883,"This captures a possible campaign that we are tracking but have not yet named. If 
you are familiar with one of these campaigns, please reach out to hello@bayse.io to share your information and be 
recognized for your contribution!",Generic Webmail,Unknown,https://bayse.io/campaign/Unknown_32099a5df3d94ec084116ad6d9eaeb755f91e883
links_id,f11e14750ff8e8272ab0c6b31030a76f50287797,717,1685604197.3465352,1696481254.5024114,https://bayse.io/site_fingerprint/links_id/f11e14750ff8e8272ab0c6b31030a76f50287797,Unknown_f11e14750ff8e8272ab0c6b31030a76f50287797,"This captures a possible campaign that we are tracking but have not yet named. If 
you are familiar with one of these campaigns, please reach out to hello@bayse.io to share your information and be 
recognized for your contribution!","Adobe Inc.,Generic Webmail,Microsoft Corporation",Unknown,https://bayse.io/campaign/Unknown_f11e14750ff8e8272ab0c6b31030a76f50287797
structural_id,8fd1b64cc4dd2756b69bf56e354c43d0d8303508,697,1685583631.6258652,1696469829.2754757,https://bayse.io/site_fingerprint/structural_id/8fd1b64cc4dd2756b69bf56e354c43d0d8303508,Unknown_8fd1b64cc4dd2756b69bf56e354c43d0d8303508,"This captures a possible campaign that we are tracking but have not yet named. If 
you are familiar with one of these campaigns, please reach out to hello@bayse.io to share your information and be 
recognized for your contribution!",Bancolombia S.A.,Unknown,https://bayse.io/campaign/Unknown_8fd1b64cc4dd2756b69bf56e354c43d0d8303508
structural_id,945c914c8c4ba5c67e1e4869a507c5b60528dc04,683,1685574904.787853,1696435068.328228,https://bayse.io/site_fingerprint/structural_id/945c914c8c4ba5c67e1e4869a507c5b60528dc04,Unknown_945c914c8c4ba5c67e1e4869a507c5b60528dc04,"This captures a possible campaign that we are tracking but have not yet named. If 
you are familiar with one of these campaigns, please reach out to hello@bayse.io to share your information and be 
recognized for your contribution!",Microsoft Corporation,Unknown,https://bayse.io/campaign/Unknown_945c914c8c4ba5c67e1e4869a507c5b60528dc04
structural_id,0e58206487e6ddb291d76d42129fa0b0e2bbe3cb,680,1685571999.975275,1696473619.7755122,https://bayse.io/site_fingerprint/structural_id/0e58206487e6ddb291d76d42129fa0b0e2bbe3cb,Unknown_0e58206487e6ddb291d76d42129fa0b0e2bbe3cb,"This captures a possible campaign that we are tracking but have not yet named. If 
you are familiar with one of these campaigns, please reach out to hello@bayse.io to share your information and be 
recognized for your contribution!",Yahoo,Unknown,https://bayse.io/campaign/Unknown_0e58206487e6ddb291d76d42129fa0b0e2bbe3cb
structural_id,34e8da027b73cc0c8676ef8cd6af789c9c85734e,619,1689428093.1897652,1696484396.200121,https://bayse.io/site_fingerprint/structural_id/34e8da027b73cc0c8676ef8cd6af789c9c85734e,Facebook Login Scam 1,This is a campaign targeting Facebook users by attempting to convince them to login to their account on a fake Facebook login portal.,"Facebook, Inc.",Unknown,https://bayse.io/campaign/Facebook Login Scam 1
structural_id,40bea19118f85571be732a39101f0cfe9d41e423,610,1685570677.026038,1696434759.6711586,https://bayse.io/site_fingerprint/structural_id/40bea19118f85571be732a39101f0cfe9d41e423,Unknown_40bea19118f85571be732a39101f0cfe9d41e423,"This captures a possible campaign that we are tracking but have not yet named. If 
you are familiar with one of these campaigns, please reach out to hello@bayse.io to share your information and be 
recognized for your contribution!",Microsoft Corporation,Unknown,https://bayse.io/campaign/Unknown_40bea19118f85571be732a39101f0cfe9d41e423
structural_id,ca5713b540327a7cf83e2a017680a78ca77ff098,584,1687591509.6041172,1696473540.1228049,https://bayse.io/site_fingerprint/structural_id/ca5713b540327a7cf83e2a017680a78ca77ff098,DANA Generic Scam 1,This is a campaign targeting customers of Indonesian banking app DANA.,PT Espay Debit Indonesia Koe,Unknown,https://bayse.io/campaign/DANA Generic Scam 1
structural_id,66d87a22dec8ec604dd7df053c1408c9952e15e1,496,1685583371.0707574,1696473491.331268,https://bayse.io/site_fingerprint/structural_id/66d87a22dec8ec604dd7df053c1408c9952e15e1,BofA Login Scam 1,This campaign is targeting customers of Bank of America by impersonating the login portal.,Bank of America Corporation,Financial-Services,https://bayse.io/campaign/BofA Login Scam 1
structural_id,925f0bdba0ea2e99d309de470c33bfecae809f95,469,1685571137.1742692,1696480758.499028,https://bayse.io/site_fingerprint/structural_id/925f0bdba0ea2e99d309de470c33bfecae809f95,Mailbox Upgrade 1,This campaign is targets users by trying to convince them to upgrade their email mailbox. It seems as though this is a multi-step attack.,Generic Webmail,Unknown,https://bayse.io/campaign/Mailbox Upgrade 1
structural_id,e72cfddf4799ed8c05ea7df89e336d856c27a454,394,1685608822.5012007,1696434374.0061893,https://bayse.io/site_fingerprint/structural_id/e72cfddf4799ed8c05ea7df89e336d856c27a454,Unknown_e72cfddf4799ed8c05ea7df89e336d856c27a454,"This captures a possible campaign that we are tracking but have not yet named. If 
you are familiar with one of these campaigns, please reach out to hello@bayse.io to share your information and be 
recognized for your contribution!",Eika Gruppen,Unknown,https://bayse.io/campaign/Unknown_e72cfddf4799ed8c05ea7df89e336d856c27a454
structural_id,abd30e844f37c0d12e1bf102a13e45b76f1baa96,232,1685612304.7485154,1696480738.362186,https://bayse.io/site_fingerprint/structural_id/abd30e844f37c0d12e1bf102a13e45b76f1baa96,Outlook Webmail 1,"This campaign is targeting users of Microsoft Outlook Webmail. The lure comes in a few different flavors (quarantined document, unread fax) but generally aims to collect the user's email and password.",Microsoft Corporation,Unknown,https://bayse.io/campaign/Outlook Webmail 1
structural_id,2f54edf4bd512ad88d7129d8d22b3a4940af2141,105,1685580120.6190205,1696440650.892296,https://bayse.io/site_fingerprint/structural_id/2f54edf4bd512ad88d7129d8d22b3a4940af2141,Outlook Webmail 1,"This campaign is targeting users of Microsoft Outlook Webmail. The lure comes in a few different flavors (quarantined document, unread fax) but generally aims to collect the user's email and password.",Microsoft Corporation,Unknown,https://bayse.io/campaign/Outlook Webmail 1
